#,Background,Stance,Mango Color,Eyes,Mouth,Costume,Costume Color,Hat,Weapon 1,Weapon 2,Weapon 3,Affinity,Special Edition
mh0,Lime Green,Floating,Orange,Unknown,Unknown,Hockey Mask,White/Blood,None,None,None,None,Hero,Travis D
mh1,Cornered Purple,Fun,Purple,Alien White,Full Metal,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh2,Brown Grey,Fun,Pink,Cyclops,Buck,Furutsu,Purple,None,None,None,None,Hero,None
mh3,Barrel Black,Fun,Purple,Eager,Leaf,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh4,Pink Black,Fun,Red,Tired,Full Metal,Cope,Black,None,None,None,None,Hero,Cope
mh5,Orange Center,Fun,Red,Piercing Worn,Pink Mask,Caliburn Combat,Blue,None,None,None,None,Hero,None
mh6,Sea,Fun,Red,Sinister,Whistle,Rockstar,Black,None,None,None,None,Hero,None
mh7,Dojo Light,Fighting,Pink,Angry,Shinobi,Shinobi,White,None,Katana,Shuriken,None,Hero,None
mh8,Green Black,Fun,Normal,Alien Red,Mustache 2,Guerrilla,Blue,None,AM-47,None,None,Hero,None
mh9,Teal Black,Fun,Purple,Plead 2,Cig,Cope,Black,None,None,None,None,Hero,Cope
mh10,Fallen,Fun,Purple,Alien White,Clench 1,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh11,Blue Bubble,Fun,Sunrise,Scared,Jester Purple,Diaper,White,Magician,Wand,None,None,Hero,None
mh12,Tangelo,Fighting,Sunrise,Pixelshades,Cheese,Viking,Brown,Viking,Shield,None,None,Hero,None
mh13,Sky 1,Fun,Red,Wink 2,Jester Red,Mango Radio,Purple,None,None,None,None,Hero,None
mh14,Peach Center,Fun,Purple,Piercing,Holler,Cape,Yellow,None,None,None,None,Hero,None
mh15,Green Mangos,Fun,Pink,Spectacles Angry,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh16,Stars,Fun,Red,Money,Goatee,Space Suit,Red,None,None,None,None,Hero,None
mh17,Pink,Floating,Orange,Evil White,Shark Sharp,None,None,None,Pumpkin,None,None,Hero,Travis D
mh18,Teal Black,Fun,Sunrise,Piercing Worn,Leaf,Striped,White,Magician,Wand,None,None,Hero,None
mh19,Teal Black,Fun,Pink,Intense Worn,Clench 3,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh20,Pink White,Fun,Blue,Joy,Triumph,Trunks,Light Pink,None,None,None,None,Hero,None
mh21,Bonsai,Fighting,Pink,Intense,Shogun,Shogun,Yellow,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh22,Sakura,Fun,Red,Resent,Zipped,Damasi,White,None,None,None,None,Hero,None
mh23,Rising Sun,Fun,Purple,Cute,Buck,Ronin,Yellow,None,Katana,None,None,Hero,None
mh24,Blue Center Light,Fun,Normal,Spectacles,Plumber,School,Blue,None,None,None,None,Hero,None
mh25,Sky 1,Fun,Normal,Spider,Leaf,Mango Radio,Yellow,None,None,None,None,Hero,None
mh26,Sea,Fun,Green,Ghoulish,Joint,Rockstar,Black,None,None,None,None,Hero,None
mh27,Planets,Fun,Blue,Goggles,Buck,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh28,Sky 2,Fun,Normal,Plead 1,Clench 1,Swimmer,Orange,Swimmer,None,None,None,Hero,None
mh29,Peach Center,Fun,Purple,Piercing Worn,Joint,Cape,Red,None,None,None,None,Hero,None
mh30,Sakura,Fun,Blue,Resent,Triumph,Damasi,Yellow,None,None,None,None,Hero,None
mh31,Barrel Black,Fun,Purple,Tired,Plumber,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh32,Planets,Fun,Purple,Pixelshades,Buck,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh33,Stars,Fun,Purple,Ded,Joint,Space Suit,Red,None,None,None,None,Hero,None
mh34,Mushroom,Fun,Purple,Plead 1,Smirk,Plumber,Red,Plumber,None,None,None,Hero,None
mh35,Sea,Fun,Blue,Ghoulish,Gum,Rockstar,Black,None,None,None,None,Hero,None
mh36,Ocean 3,Fighting,Normal,Scared,Yum,Straw Hat,Green,Straw Hat,None,None,None,Hero,None
mh37,Grey White,Fighting,Normal,Wink,Smooch,Grease,Blue,None,None,None,None,Hero,None
mh38,Peach Center,Fun,Purple,Eager,Holler,Cape,Yellow,None,None,None,None,Hero,None
mh39,Ocean 1,Fun,Green,Plead 2,Smooch,Boxer,Blue,None,Gloves,None,None,Hero,None
mh40,Purple Center,Fun,Purple,Cute,Ghoulish,Biz,Tan,None,None,None,None,Hero,None
mh41,Grey White,Fighting,Sunrise,Pixelshades,Gum,Grease,Blue,Mariachi,Maraca,None,None,Hero,None
mh42,Pink White,Fun,Sunrise,Piercing Worn,Cigar,Trunks,Blue,None,None,None,None,Hero,None
mh43,Sunset,Fun,Normal,Cute,Cheese,Mangoball,Purple,None,Mangoball,None,None,Hero,None
mh44,Teal Black,Fun,Pink,Patch,Wheat,Cope,Black,Magician,Wand,None,None,Hero,Cope
mh45,Grey White,Fighting,Green,Plead 1,Mock,Grease,Blue,Pirate,Hook,None,None,Hero,None
mh46,Ocean 1,Fun,Sunrise,Sinister,Happy,Boxer,Pink,None,Gloves,None,None,Hero,None
mh47,Sky 1,Fun,Purple,Glasses,Whiskers,Mango Radio,Purple,None,None,None,None,Hero,None
mh48,Toxic,Fighting,Purple,Fire,Yum,Mango Ranger,Green,None,None,None,None,Hero,None
mh49,Barrel White,Fun,Pink,Resent,Full Metal,Special Agent G,Purple,None,Mango MPK,None,None,Hero,None
mh50,Ocean,Fighting,Blue,Scared,Happy,Straw Hat,Green,Straw Hat,None,None,None,Hero,None
mh51,Grey White,Fighting,Normal,Worry 2,Yum,Grease,Blue,Mariachi,Maraca,None,None,Hero,None
mh52,Mango Island,Fun,Purple,Mask,Mango Woman,Mango Woman,Pink,None,Shield,None,None,Hero,None
mh53,Purple Center,Fun,Purple,Glasses,Pout,Biz,Tan,None,None,None,None,Hero,None
mh54,Blue Yellow,Fun,Green,Intense Worn,Leaf,Jester,Purple,None,None,None,None,Hero,None
mh55,Grey White,Fighting,Normal,Patch,Cheeky,Grease,Blue,Cowboy,None,None,None,Hero,None
mh56,Stars,Fun,Blue,Angry 1,Gum,Space Suit,Blue,None,None,None,None,Hero,None
mh57,Mango Island,Fun,Red,Mask,Joint,Mango Man,Green,None,None,None,None,Hero,None
mh58,Teal Black,Fun,Red,Yikes,Sinister,Striped,White,Mariachi,Maraca,None,None,Hero,None
